scheduled	actual	delay	is_late	day_name
2023-04-29 16:35:00	2023-04-29 17:01:00	0 days 00:26:00	True	Sat
2023-07-02 15:10:00	2023-07-02 15:05:00	-1 days +23:55:00	False	Sun
2023-12-25 10:55:00	2023-12-25 10:53:00	-1 days +23:58:00	False	Mon
2023-09-01 12:50:00	2023-09-01 12:48:00	-1 days +23:58:00	False	Fri
2023-12-14 07:05:00	2023-12-14 07:02:00	-1 days +23:57:00	False	Thu
2023-08-27 23:25:00	2023-08-27 23:26:00	0 days 00:01:00	False	Sun
2023-10-14 07:00:00	2023-10-14 06:57:00	-1 days +23:57:00	False	Sat
2023-02-16 16:55:00	2023-02-16 16:50:00	-1 days +23:55:00	False	Thu
2023-03-23 19:20:00	2023-03-23 20:35:00	0 days 01:15:00	True	Thu
2023-07-14 22:10:00	2023-07-14 23:21:00	0 days 01:11:00	True	Fri
2023-08-23 06:05:00	2023-08-23 06:04:00	-1 days +23:59:00	False	Wed
2023-07-23 22:31:00	2023-07-23 22:28:00	-1 days +23:57:00	False	Sun
2023-06-05 14:11:00	2023-06-05 14:10:00	-1 days +23:59:00	False	Mon
2023-04-20 21:08:00	2023-04-20 22:11:00	0 days 01:03:00	True	Thu
2023-02-13 12:58:00	2023-02-13 12:53:00	-1 days +23:55:00	False	Mon
2023-03-17 19:49:00	2023-03-17 19:48:00	-1 days +23:59:00	False	Fri
2023-04-03 10:55:00	2023-04-03 10:56:00	0 days 00:01:00	False	Mon
2023-04-12 20:30:00	2023-04-12 20:29:00	-1 days +23:59:00	False	Wed
2023-07-15 23:00:00	2023-07-15 23:03:00	0 days 00:03:00	False	Sat
2023-03-20 22:30:00	2023-03-20 22:26:00	-1 days +23:56:00	False	Mon
2023-11-05 11:24:00	2023-11-05 11:17:00	-1 days +23:53:00	False	Sun
2023-11-30 11:30:00	2023-11-30 11:29:00	-1 days +23:59:00	False	Thu
2023-04-14 19:54:00	2023-04-14 19:51:00	-1 days +23:57:00	False	Fri
2023-03-30 23:14:00	2023-03-30 23:13:00	-1 days +23:59:00	False	Thu
2023-02-20 16:15:00	2023-02-20 16:12:00	-1 days +23:57:00	False	Mon
2023-01-19 11:03:00	2023-01-19 11:14:00	0 days 00:11:00	False	Thu
2023-06-29 17:41:00	2023-06-29 18:29:00	0 days 00:48:00	True	Thu
2023-12-21 11:07:00	2023-12-21 11:05:00	-1 days +23:58:00	False	Thu
2023-11-22 17:55:00	2023-11-22 17:50:00	-1 days +23:55:00	False	Wed
2023-06-17 20:20:00	2023-06-17 20:22:00	0 days 00:02:00	False	Sat
