scheduled,actual,carrier,flight,tailnum,origin,dest,air_time,distance
"04/29/2023, 16:35","04/29/2023, 17:01",WN,1079,N230WN,ATL,HOU,110,696
"07/02/2023, 15:10","07/02/2023, 15:05",DL,355,N953AT,ATL,GPT,54,352
"12/25/2023, 10:55","12/25/2023, 10:53",WN,291,N413WN,ATL,RDU,57,356
"09/01/2023, 12:50","09/01/2023, 12:48",DL,1132,N947DZ,ATL,TYS,28,152
"12/14/2023, 07:05","12/14/2023, 07:02",DL,40,N332DN,ATL,BOS,121,946
"08/27/2023, 23:25","08/27/2023, 23:26",DL,932,N333NW,ATL,OMA,115,821
"10/14/2023, 07:00","10/14/2023, 06:57",UA,560,N15710,ATL,IAH,95,689
"02/16/2023, 16:55","02/16/2023, 16:50",AA,215,N901AA,ATL,MIA,89,594
"03/23/2023, 19:20","03/23/2023, 20:35",NK,545,N698NK,ATL,MCO,62,404
"07/14/2023, 22:10","07/14/2023, 23:21",WN,957,N8669B,ATL,RSW,77,515
"08/23/2023, 06:05","08/23/2023, 06:04",WN,1206,N8782Q,ATL,LGA,109,762
"07/23/2023, 22:31","07/23/2023, 22:28",DL,998,N353NB,ATL,IAD,75,534
"06/05/2023, 14:11","06/05/2023, 14:10",DL,148,N316DN,ATL,DEN,160,1199
"04/20/2023, 21:08","04/20/2023, 22:11",DL,246,N318DX,ATL,LAS,271,1747
"02/13/2023, 12:58","02/13/2023, 12:53",9E,1036,N8968E,ATL,MLU,73,448
"03/17/2023, 19:49","03/17/2023, 19:48",DL,1077,N356DN,ATL,MKE,87,669
"04/03/2023, 10:55","04/03/2023, 10:56",WN,313,N8820L,ATL,IAD,76,534
"04/12/2023, 20:30","04/12/2023, 20:29",DL,85,N345DN,ATL,LGA,109,762
"07/15/2023, 23:00","07/15/2023, 23:03",DL,1142,N397DN,ATL,GRR,86,640
"03/20/2023, 22:30","03/20/2023, 22:26",DL,1075,N855DN,ATL,CMH,65,447
"11/05/2023, 11:24","11/05/2023, 11:17",NK,399,N606NK,ATL,MSP,133,907
"11/30/2023, 11:30","11/30/2023, 11:29",DL,1038,N967AT,ATL,EWR,98,746
"04/14/2023, 19:54","04/14/2023, 19:51",DL,337,N835DN,ATL,SRQ,69,444
