food,yes,no,no_opinion
almonds,312,6,2
apples,313,1,3
avocados,308,9,6
baked potatoes,226,69,19
butter,131,158,42
canned tuna,279,37,18
carrots,324,2,2
cashews,270,21,8
cheddar cheese,197,116,32
chicken,282,11,17
chocolate chip cookies,21,311,14
coconut oil,124,153,57
corn,248,58,17
crackers,80,208,35
diet soda,61,237,39
eggs,312,9,5
french fries,16,318,12
frozen yogurt,107,185,39
granola,151,138,35
granola bar,86,184,40
hummus,287,14,16
ice cream,42,252,26
kale,341,4,7
oatmeal,315,3,6
olive oil,296,7,6
oranges,331,1,1
orange juice,211,105,21
peanut butter,269,47,14
pizza,85,238,30
popcorn,185,92,28
quinoa,291,10,26
regular soda,4,301,8
shrimp,272,29,19
skim milk,294,43,20
spinach,323,2,0
sushi,241,41,38
tofu,286,24,27
white bread,46,252,13
whole milk,208,94,24
whole wheat bread,274,24,7
