food,yes,no,no_opinion
almonds,913,55,24
apples,945,31,7
avocados,882,88,59
baked potatoes,666,248,26
butter,338,600,34
canned tuna,704,243,62
carrots,935,44,16
cashews,826,133,35
cheddar cheese,531,362,60
chicken,883,73,14
chocolate chip cookies,102,838,41
coconut oil,714,144,126
corn,718,264,53
crackers,371,484,88
diet soda,163,782,58
eggs,883,94,12
french fries,109,868,38
frozen yogurt,680,263,82
granola,786,145,54
granola bar,705,235,60
hummus,665,145,191
ice cream,203,813,30
kale,819,84,73
oatmeal,952,54,34
olive oil,896,85,42
oranges,928,30,12
orange juice,790,205,20
peanut butter,811,181,36
pizza,191,795,48
popcorn,500,390,68
quinoa,586,121,300
regular soda,97,868,28
shrimp,682,233,78
skim milk,752,180,75
spinach,904,39,18
sushi,500,307,209
tofu,568,228,194
white bread,124,476,20
whole milk,628,393,50
whole wheat bread,850,140,23
