painting_id,feature,x,y,width,height,color,rgb
b104,rect,0,0,146,13,white,#ced2ca
b104,rect,151,0,576,13,gray,#a4a7a7
b104,rect,732,0,278,129,gray,#c8c9c7
b104,rect,0,18,146,468,white,#cfd0ce
b104,rect,151,18,107,111,black,#151d16
b104,rect,263,18,464,111,blue,#233c55
b104,rect,151,134,380,143,gray,#abafaf
b104,rect,536,134,191,143,red,#b93e0b
b104,rect,732,134,212,143,black,#111712
b104,rect,949,134,61,143,blue,#233c55
b104,rect,151,282,107,204,black,#151d16
b104,rect,263,282,268,204,yellow,#d2c300
b104,rect,536,282,191,343,blue,#233c55
b104,rect,732,282,212,343,red,#b93e0b
b104,rect,949,282,61,484,gray,#979b96
b104,rect,0,491,146,452,gray,#abacae
b104,rect,151,491,107,452,gray,#abacae
b104,rect,263,491,268,134,yellow,#d2c300
b104,rect,263,630,268,136,red,#b93e0b
b104,rect,536,630,191,136,white,#cfd0ce
b104,rect,732,630,212,136,yellow,#d2c300
b104,rect,263,771,268,172,black,#0e140e
b104,rect,536,771,191,172,gray,#9fa3a3
b104,rect,732,771,212,172,blue,#233c55
b104,rect,949,771,61,236,red,#b93e0b
b104,rect,0,948,258,59,yellow,#cab901
b104,rect,263,948,464,59,white,#c4c6c5
b104,rect,732,948,212,59,black,#0e140e
b104,h-line,0,13,727,5,black,#000000
b104,h-line,151,129,859,5,black,#000000
b104,h-line,151,277,859,5,black,#000000
b104,h-line,0,486,531,5,black,#000000
b104,h-line,263,625,681,5,black,#000000
b104,h-line,263,766,747,5,black,#000000
b104,h-line,0,943,944,5,black,#000000
b104,v-line,146,0,5,943,black,#000000
b104,v-line,727,0,5,1007,black,#000000
b104,v-line,258,18,5,111,black,#000000
b104,v-line,531,134,5,809,black,#000000
b104,v-line,944,134,5,873,black,#000000
b104,v-line,258,282,5,725,black,#000000
b105,rect,0,0,39,212,black,#222020
b105,rect,47,0,290,35,gray,#c3c7d1
b105,rect,345,0,229,135,white,#fbfbfc
b105,rect,582,0,218,135,white,#bdbec1
b105,rect,808,0,110,212,yellow,#f1da66
b105,rect,47,43,112,169,red,#e53e33
b105,rect,167,43,170,169,white,#fdfdfd
b105,rect,345,143,229,69,yellow,#f1da66
b105,rect,582,143,218,69,blue,#36477a
