painting_id,year,title,width,height
b104,1920,No. VI,1010,1007
b105,1920,Composition A,918,900
b106,1920,Composition B,575,677
b107,1920,Composition C,610,603
b108,1920,Composition I,646,750
b109,1920,Composition II,564,630
b113,1920,Tableau no. I,651,753
b114,1920,"Composition with yellow, red, black, blue and gray",610,525
b115,1921,"Composition with red, black, yellow, blue and grey",500,800
b116,1921,"Composition with yellow, blue, black, red, and gray",727,885
b117,1921,"Composition with large blue plane, red, black, yellow and gray",500,605
b120,1921,"Composition with large red plane, black, blue, yellow and gray",480,480
b121,1921,Tableau no. II,650,750
b122,1921,Tableau,495,495
b123,1921,Tableau 3,415,495
b125,1921,"Compositie met rood, blauw, zwart, geel en grijs",350,395
b126,1921,Tableau I,605,965
b128,1921,Tableau I,1000,1030
b129,1921,Tableau II,990,1010
b130,1921,"Composition with large red plane, yellow, black, gray and blue",595,595
b131,1921,"Composition with red, yellow, black, blue, and gray",380,480
b132,1921,"Composition with red, blue, black, yellow and gray",524,760
b133,1922,Tableau no. III,492,492
b134,1922,"Composition with blue, yellow, red and gray",348,380
b135,1922,"Composition with blue, black, yellow and red",347,390
b136,1922,"Composition with blue, black, yellow and red",490,410
b137,1922,"Composition with red, blue, yellow, black and gray",486,419
b138,1922,"Composition with blue, yellow, red, black, and gray",500,420
b139,1922,"Composition with yellow, black, blue, red, and gray",500,400
b141,1922,"Composition with blue, yellow, red, and black",485,420
b142,1922,"Composition with blue, red, yellow, and black",495,790
b143,1922,"Composition with yellow, blue, and blue-white",533,553
b144,1922,"Composition with large red plane, bluish gray, yellow, black, and blue",534,540
b145,1922,"Composition with blue, yellow, black, and red",540,530
b146,1922,Tableau 2,534,556
b147,1922,"Compostion with red, black, yellow, blue, and gray",390,501
b150,1923,Tableau,535,540
b159,1925,Tableau no. VII,435,485
b160,1925,Tableau no. VIII,415,490
b162,1925,Tableau no. X,425,490
b163,1922,Tableau no. XI,345,385
b170,1926,Komposition II,508,508
b172,1926,Komposition IV,300,400
b182,1927,"Composition with yellow, red, and blue",345,380
b183,1927,"Composition with blue, black, and gray",350,382
b185,1927,"Composition with blue, yellow, and red",503,398
b187,1927,"Composition with red, yellow, and blue",350,380
b188,1927,"Composition with red, yellow, and blue",511,511
b189,1927,"Composition with black, red, and gray",560,560
b190,1927,No. III,400,610
