continent,year,internet_users
Africa,1990,0.0
Africa,1991,5537.6504
Africa,1992,16497.412
Africa,1993,49863.22
Africa,1994,114298.695
Africa,1995,328407.62
Africa,1996,456112.28
Africa,1997,914034.25
Africa,1998,1718309.4
Africa,1999,2923667.0
Africa,2000,4561338.5
Africa,2001,6188667.0
Africa,2002,9863509.0
Africa,2003,13736867.0
Africa,2004,26695266.0
Africa,2005,33530732.0
Africa,2006,41354172.0
Africa,2007,53133664.0
Africa,2008,62553824.0
Africa,2009,74817950.0
Africa,2010,97119390.0
Africa,2011,115689130.0
Africa,2012,139054620.0
Africa,2013,166122300.0
Africa,2014,199091000.0
Africa,2015,236452270.0
Africa,2016,282945020.0
Africa,2017,326376420.0
Africa,2018,366186600.0
Africa,2019,437631700.0
Africa,2020,513048060.0
Africa,2021,553207800.0
Asia,1990,40332.61
Asia,1991,92756.52
Asia,1992,245123.31
Asia,1993,760808.3
Asia,1994,1487564.6
Asia,1995,3261400.2
Asia,1996,8208173.5
Asia,1997,17704536.0
Asia,1998,30761370.0
Asia,1999,62788108.0
Asia,2000,108619360.0
Asia,2001,149928690.0
Asia,2002,213179680.0
Asia,2003,255643620.0
Asia,2004,309618300.0
Asia,2005,355540000.0
Asia,2006,412992480.0
Asia,2007,538581700.0
Asia,2008,659952400.0
Asia,2009,780297300.0
Asia,2010,940890240.0
Asia,2011,1069976600.0
Asia,2012,1178798800.0
Asia,2013,1291964800.0
Asia,2014,1408229400.0
Asia,2015,1526448600.0
Asia,2016,1673003000.0
Asia,2017,1797867300.0
Asia,2018,1960957300.0
Asia,2019,2248639200.0
Asia,2020,2603487500.0
Asia,2021,2753528300.0
Europe,1990,400940.28
Europe,1991,855162.56
Europe,1992,1524131.2
Europe,1993,2362913.2
Europe,1994,4419364.5
Europe,1995,8363460.0
Europe,1996,15215709.0
Europe,1997,27700156.0
Europe,1998,45125396.0
Europe,1999,76929520.0
Europe,2000,109487290.0
Europe,2001,136094750.0
Europe,2002,188508370.0
Europe,2003,228735540.0
Europe,2004,263861470.0
Europe,2005,289971780.0
Europe,2006,315719970.0
Europe,2007,357602700.0
Europe,2008,392810500.0
Europe,2009,429547500.0
Europe,2010,460674180.0
Europe,2011,482691700.0
Europe,2012,510795360.0
Europe,2013,528108740.0
Europe,2014,544984060.0
Europe,2015,550339400.0
Europe,2016,567194050.0
Europe,2017,582921900.0
Europe,2018,607619260.0
Europe,2019,620024700.0
Europe,2020,636846850.0
Europe,2021,654927100.0
North America,1990,2088613.0
North America,1991,3148829.0
North America,1992,4752118.0
North America,1993,6335239.5
North America,1994,13654878.0
North America,1995,26139244.0
North America,1996,46793108.0
North America,1997,64503444.0
North America,1998,92445220.0
North America,1999,113829000.0
North America,2000,143960430.0
North America,2001,168070940.0
North America,2002,204706160.0
North America,2003,218043660.0
North America,2004,232304900.0
North America,2005,250300080.0
North America,2006,259884750.0
North America,2007,283951550.0
North America,2008,288208640.0
North America,2009,290293060.0
North America,2010,302547520.0
North America,2011,309947000.0
North America,2012,335082080.0
North America,2013,335518850.0
North America,2014,348021980.0
North America,2015,376940670.0
North America,2016,424755400.0
North America,2017,431778880.0
North America,2018,448182660.0
North America,2019,475619900.0
North America,2020,485726460.0
North America,2021,502541100.0
Oceania,1990,100205.08
Oceania,1991,190399.88
Oceania,1992,320505.7
Oceania,1993,372568.4
Oceania,1994,514807.2
Oceania,1995,680129.2
Oceania,1996,904513.94
Oceania,1997,3596938.5
Oceania,1998,7006372.5
Oceania,1999,9390646.0
Oceania,2000,10920936.0
Oceania,2001,12463434.0
Oceania,2002,2619052.5
Oceania,2003,2785937.5
Oceania,2004,2910370.8
Oceania,2005,15810392.0
Oceania,2006,16957378.0
Oceania,2007,18027798.0
Oceania,2008,18921514.0
Oceania,2009,20260466.0
Oceania,2010,21051036.0
Oceania,2011,22356032.0
Oceania,2012,22824094.0
Oceania,2013,24466048.0
Oceania,2014,25238508.0
Oceania,2015,26052176.0
Oceania,2016,27087544.0
Oceania,2017,28220486.0
Oceania,2018,27912692.0
Oceania,2019,31616984.0
Oceania,2020,33776156.0
Oceania,2021,34744776.0
South America,1990,0.0
South America,1991,4988.953
South America,1992,29126.117
South America,1993,70855.78
South America,1994,153002.28
South America,1995,374024.75
South America,1996,1216602.2
South America,1997,2133999.0
South America,1998,4425228.5
South America,1999,7725285.0
South America,2000,13402305.0
South America,2001,19968528.0
South America,2002,30864138.0
South America,2003,42273500.0
South America,2004,57430290.0
South America,2005,66164490.0
South America,2006,86267970.0
South America,2007,101454856.0
South America,2008,115609250.0
South America,2009,136083660.0
South America,2010,152007100.0
South America,2011,171591780.0
South America,2012,190106370.0
South America,2013,203940700.0
South America,2014,217941650.0
South America,2015,235314000.0
South America,2016,249675460.0
South America,2017,272053540.0
South America,2018,267046270.0
South America,2019,281590000.0
South America,2020,310217820.0
South America,2021,317739520.0
