year,internet_users
1990,3000000
1991,4000000
1992,7000000
1993,10000000
1994,20000000
1995,39000000
1996,77000000
1997,120000000
1998,188000000
1999,281000000
2000,414000000
2001,502000000
2002,665000000
2003,781000000
2004,913000000
2005,1029000000
2006,1161000000
2007,1372000000
2008,1573000000
2009,1771000000
2010,2021000000
2011,2219000000
2012,2427000000
2013,2599000000
2014,2794000000
2015,3005000000
2016,3256000000
2017,3484000000
2018,3796000000
2019,4194000000
2020,4700000000
2021,4901000000
2022,5300000000
2023,5400000000
2024,5450000000
