painting_id,feature,x,y,width,height,color,rgb
fp26,rect,0,0,34,92,white,#fafafa
fp26,rect,41,0,267,22,white,#f9f9f9
fp26,rect,317,0,309,22,white,#fafafa
fp26,rect,634,0,38,261,white,#fafafa
fp26,rect,680,0,32,261,yellow,#fcf202
fp26,rect,41,30,267,62,blue,#2b529d
fp26,rect,317,30,109,62,white,#fafafa
fp26,rect,433,30,193,62,blue,#2c529d
fp26,rect,0,100,34,236,black,#020202
fp26,rect,41,100,81,236,white,#fbfbfb
fp26,rect,130,100,31,397,black,#020202
fp26,rect,169,100,101,161,white,#fafafa
fp26,rect,279,100,29,161,white,#fafafa
fp26,rect,317,100,109,161,yellow,#fbf102
fp26,rect,433,100,147,161,red,#f30100
fp26,rect,587,100,39,161,red,#f40100
fp26,rect,169,269,33,67,yellow,#fcf203
fp26,rect,210,269,98,67,red,#f40101
fp26,rect,317,269,109,67,blue,#2c529e
fp26,rect,433,269,147,67,white,#fafafa
fp26,rect,587,269,39,67,white,#fafafa
fp26,rect,634,269,78,67,black,#030303
fp26,rect,0,344,34,153,white,#fafafa
fp26,rect,41,344,81,153,red,#f40101
fp26,rect,169,344,33,202,yellow,#fcf203
fp26,rect,210,344,175,118,white,#fafafa
fp26,rect,393,344,122,118,white,#fafafa
fp26,rect,523,344,57,118,blue,#2c529e
fp26,rect,587,344,39,118,yellow,#fcf303
fp26,rect,634,344,78,118,white,#fafafa
fp26,rect,210,470,98,76,red,#f30000
fp26,rect,317,470,198,76,black,#030303
fp26,rect,523,470,189,76,white,#fafafa
fp26,rect,0,505,161,41,white,#fafafa
fp26,v-line,34,0,7,501,black,#000000
fp26,v-line,308,0,9,340,black,#000000
fp26,v-line,626,0,8,466,black,#000000
fp26,v-line,672,0,8,265,black,#000000
fp26,v-line,426,26,7,314,black,#000000
fp26,v-line,122,96,8,405,black,#000000
fp26,v-line,161,96,8,450,black,#000000
fp26,v-line,202,265,8,281,black,#000000
fp26,v-line,385,340,8,126,black,#000000
fp26,v-line,515,340,8,206,black,#000000
fp26,h-line,38,22,592,8,black,#000000
fp26,h-line,0,92,630,8,black,#000000
fp26,h-line,165,261,547,8,black,#000000
fp26,h-line,0,336,126,8,black,#000000
fp26,h-line,165,336,547,8,black,#000000
fp26,h-line,206,462,506,8,black,#000000
fp26,h-line,0,497,166,8,black,#000000
fp26,v-line,270,96,9,169,black,#000000
fp26,v-line,580,96,7,370,black,#000000
fp26,v-line,308,466,9,80,black,#000000
