species,neck_vertebrae
cinereous vulture,13
guineafowl,14
red-legged partridge,14
blue-cheeked parrot,12
northern pintail,15
auckland teal,14
american darter,18
oriental darter,18
magpie goose,17
king penguin,12
kiwi,14
blue-and-yellow macaw,10
grey heron,16
bohemian waxwing,12
barnacle goose,17
eurasian eagle-owl,11
great horned owl,13
northern ground-hornbill,13
salmon-crested cockatoo,11
green broadbill,11
red-legged seriema,13
southern cassowary,15
turkey vulture,14
eurasian treecreeper,12
blue-tailed emerald hummingbird,11
white-throated dipper,13
cinereous tinamou,16
tataupa tinamou,14
mute swan,23
great spotted woodpecker,11
emu,18
black woodpecker,11
sunbittern,16
ascension frigatebird,15
lesser frigatebird,12
rail,13
chicken,14
greater roadrunner,12
collared pratincole,14
western crowned-pigeon,13
eurasian griffon vulture,15
little eagle,11
black-winged stilt,14
barn swallow,13
ptarmigan,14
seagull,13
bengalese finch,13
ringed kingfisher,12
collared falconet,13
northern gannet,15
hooded vulture,13
kea,12
hoatzin,16
eurasian golden oriole,12
dalmatian pelican,16
brown pelican,15
cormorant,17
flightless cormorant,18
chilean flamingo,17
american flamingo,17
great crested grebe,19
pied-billed grebe,19
south island takahe,14
grey-headed swamphen,14
black-necked aracari,13
greater rhea,14
secretarybird,14
woodcock,13
humboldt penguin,13
yellow-bellied sapsucker,12
kakapo,12
tawny owl,13
common ostrich,18
masked booby,15
rainbow lorikeet,12
painted buttonquail,17
barn owl,12
eurasian hoopoe,13
murre,13
new zealand rockwren,13
bushwren,13
