species,neck_vertebrae
cheetah,7
impala,7
giant panda,7
hartebeest,7
moose,7
black howler,7
mantled howler monkey,7
yucatan black howler,7
colombian red howler,7
lord derby's scaly-tailed squirrel,7
pel's flying squirrel,7
pronghorn,7
blackbuck,7
azara's night monkey,7
nancy ma's night monkey,7
mountain beaver,7
calabar potto,7
white-bellied spider monkey,7
peruvian spider monkey,7
black-headed spider monkey,7
black-handed spider monkey,7
red-faced spider monkey,7
blue whale,7
eastern bettong,7
woylie,7
cow,7
nilgai,7
pale-throated sloth,9
brown-throated sloth,9
common marmoset,7
bare-tailed woolly opossum,7
dromedary camel,7
bactrian camel,7
side-striped jackal,7
golden jackal,7
coyote,7
wolf,7
black-backed jackal,7
ethiopian wolf,7
pygmy right whale,7
american beaver,7
eurasian beaver,7
white-fronted capuchin,7
colombian white-faced capuchin,7
bay duiker,7
white-bellied duiker,7
blue duiker,7
red forest duiker,7
black-fronted duiker,7
yellow-backed duiker,7
weyns's duiker,7
white rhinoceros,7
red-tailed monkey,7
crab-eating fox,7
grivet,7
malbrouck,7
vervet monkey,7
green monkey,7
pygmy hippopotamus,7
linnaeus's two-toed sloth,7
hoffmann's two-toed sloth,6
brazilian porcupine,7
yellow-faced pocket gopher,7
spotted hyena,7
common mole-rat,7
bolivian tuco-tuco,7
silky anteater,7
lesser short-nosed fruit bat,7
topi,7
bontebok,7
southern long-nosed armadillo,7
nine-banded armadillo,7
eastern quoll,7
goodfellow's tree-kangaroo,7
lumholtz's tree-kangaroo,7
matschie's tree-kangaroo,7
ursine tree-kangaroo,7
sumatran rhinoceros,7
black rhinoceros,7
common opossum,7
virginia opossum,7
heermann's kangaroo rat,7
merriam's kangaroo rat,7
ord's kangaroo rat,7
patagonian mara,7
short-snouted elephant shrew,7
eastern rock elephant shrew,7
rufous elephant shrew,7
western rock elephant shrew,7
asian elephant,7
onager,7
plains zebra,7
mountain zebra,7
grant's golden mole,7
north american porcupine,7
white-headed lemur,7
collared brown lemur,7
black lemur,7
mongoose lemur,7
red-bellied lemur,7
sanford's brown lemur,7
southern needle-clawed bushbaby,7
six-banded armadillo,7
common genet,7
rusty-spotted genet,7
servaline genet,7
plains pocket gopher,7
southeastern pocket gopher,7
giraffe,7
eastern gorilla,7
western gorilla,7
sun bear,7
silvery mole-rat,7
small indian mongoose,7
egyptian mongoose,7
naked mole-rat,7
hippopotamus,7
human,7
hoolock gibbon,7
capybara,7
agile gibbon,7
lar gibbon,7
silvery gibbon,7
giant forest hog,7
indri,7
lesser egyptian jerboa,7
greater egyptian jerboa,7
waterbuck,7
kob,7
lechwe,7
nile lechwe,7
puku,7
atlantic white-sided dolphin,7
common woolly monkey,7
llama,7
ring-tailed lemur,7
ocelot,7
oncilla,7
margay,7
serval,7
antelope jackrabbit,7
snowshoe hare,7
black-tailed jackrabbit,7
european hare,7
white-tailed jackrabbit,7
giraffe gazelle,7
red slender loris,7
african bush elephant,7
pampas fox,7
african wild dog,7
canada lynx,7
bobcat,7
stump-tailed macaque,7
crab-eating macaque,7
japanese macaque,7
northern pig-tailed macaque,7
moor macaque,7
indochinese rhesus macaque,7
southern pig-tailed macaque,7
celebes crested macaque,7
lion-tailed macaque,7
toque macaque,7
barbary macaque,7
agile wallaby,7
tammar wallaby,7
western grey kangaroo,7
eastern grey kangaroo,7
western brush wallaby,7
whiptail wallaby,7
common wallaroo,7
red-necked wallaby,7
red kangaroo,7
drill,7
mandrill,7
chinese pangolin,7
hoary marmot,7
alpine marmot,7
groundhog,7
american marten,7
yellow-throated marten,7
beech marten,7
fisher,7
southern multimammate mouse,7
humpback whale,7
sloth bear,7
central american dwarf squirrel,7
amazon dwarf squirrel,7
western dwarf squirrel,7
california vole,7
rock vole,7
eastern meadow vole,7
angolan talapoin,7
long-tailed weasel,7
indonesian mountain weasel,7
black-footed ferret,7
european polecat,7
siberian weasel,7
giant anteater,7
proboscis monkey,7
american mink,7
black crested gibbon,7
yellow-cheeked gibbon,7
sunda slow loris,7
walrus,7
mule deer,7
white-tailed deer,7
okapi,7
northern grasshopper mouse,7
mountain goat,7
aardvark,7
east african oryx,7
scimitar oryx,7
gemsbok,7
arabian oryx,7
brown greater galago,7
northern greater galago,7
oribi,7
musk ox,7
bonobo,7
chimpanzee,7
lion,7
jaguar,7
leopard,7
tiger,7
snow leopard,7
olive baboon,7
yellow baboon,7
hamadryas baboon,7
guinea baboon,7
asian palm civet,7
collared peccary,7
south african springhare,7
east african springhare,7
potto,7
white-footed mouse,7
four-toed elephant shrew,7
common warthog,7
koala,7
tree pangolin,7
rio tapajós saki,7
monk saki,7
white-faced saki,7
sumatran orangutan,7
bornean orangutan,7
red river hog,7
kinkajou,7
black-crested sumatran langur,7
maroon leaf monkey,7
raccoon,7
coquerel's sifaka,7
diademed sifaka,7
verreaux's sifaka,7
brown rat,7
black rat,7
southern reedbuck,7
mountain reedbuck,7
bohor reedbuck,7
indian rhinoceros,7
cotton-top tamarin,7
common squirrel monkey,7
tasmanian devil,7
eastern mole,7
eastern gray squirrel,7
fox squirrel,7
hero shrew,7
giant pangolin,7
siamang,7
african buffalo,7
northern tamandua,7
southern tamandua,7
least chipmunk,7
eastern chipmunk,7
american red squirrel,7
baird's tapir,7
malayan tapir,7
south american tapir,7
giant eland,7
common eland,7
american badger,7
gelada,7
botta's pocket gopher,7
southern pocket gopher,7
silvery lutung,7
phayre's leaf monkey,7
nyala,7
mountain nyala,7
bongo,7
lesser kudu,7
harnessed bushbuck,7
sitatunga,7
greater kudu,7
west indian manatee,6
gray fox,7
american black bear,7
brown bear,7
polar bear,7
asian black bear,7
alpaca,7
common wombat,7
red fox,7
fennec fox,7
california sea lion,7
